# ATCA calibrator list retrieved on 2011-10-10
0506-612, radec atca_cal, 05:06:43.988715, -61:09:40.99318
j0507-6104, radec atca_cal, 05:07:54.67104, -61:04:43.1165
0506+056, radec atca_cal, 05:09:25.964466, 05:41:35.333530
j0510-8419, radec atca_cal, 05:10:11.62513, -84:19:28.5199
0509+011, radec atca_cal, 05:11:57.612491, 01:10:49.435480
0511+009, radec atca_cal, 05:13:40.032514, 01:00:21.654410
0511-220, radec atca_cal, 05:13:49.114326, -21:59:16.092020
j0514-4554, radec atca_cal, 05:14:43.95966, -45:54:35.5721
0515-674, radec atca_cal, 05:15:37.564, -67:21:27.78
j0515-4556, radec atca_cal, 05:15:45.25018, -45:56:43.1982
0514-161, radec atca_cal, 05:16:15.929354, -16:03:07.634560
0515+067, radec atca_cal, 05:17:51.344149, 06:48:03.210710
j0518-6935, radec atca_cal, 05:18:32.58619, -69:35:21.3612
0516+087, radec atca_cal, 05:19:10.8113, 08:48:56.717
0518+165, radec atca_cal, 05:21:09.886021, 16:38:22.051220
0519-208, radec atca_cal, 05:21:38.8950, -20:47:39.388
0519+011, radec atca_cal, 05:22:17.467439, 01:13:31.186300
0522-611, radec atca_cal, 05:22:34.425, -61:07:57.14
0521-365, radec atca_cal, 05:22:57.984651, -36:27:30.850920
j0524-5658, radec atca_cal, 05:24:40.24439, -56:58:51.5597
j0525-5725, radec atca_cal, 05:25:58.56950, -57:25:07.9087
0524-485, radec atca_cal, 05:26:16.66, -48:30:36.8
0524+034, radec atca_cal, 05:27:32.705431, 03:31:31.516650
j0529-7625, radec atca_cal, 05:29:16.78447, -76:25:11.2482
0530-727, radec atca_cal, 05:29:30.042, -72:45:28.51
0528-250, radec atca_cal, 05:30:07.962795, -25:03:29.899590
0528+134, radec atca_cal, 05:30:56.416744, 13:31:55.149550
0529+075, radec atca_cal, 05:32:38.998531, 07:32:43.345860
j0533-7216, radec atca_cal, 05:33:44.71065, -72:16:24.3125
0532-378, radec atca_cal, 05:34:17.498, -37:47:25.49
0534-340, radec atca_cal, 05:36:28.43239, -34:01:11.4688
0537-441, radec atca_cal, 05:38:50.362, -44:05:08.94
