1Jy 0403-13, radec J2000, 4:05:34.04, -13:08:16.4, (408 89600 1.808 -0.3685)
1Jy 0404+03 | *3C105, radec J2000, 4:07:25.52, 3:40:47.5, (38 31400 2.762 -0.6451)
1Jy 0405-12, radec J2000, 4:07:48.38, -12:11:35.5, (14 31400 2.026 -0.464)
1Jy 0405-385, radec J2000, 4:06:59.71, -38:26:21.0, (800.0 31400 -0.3599 0.1074)
1Jy 0407-65, radec J2000, 4:08:20.39, -65:44:59.1, (468 5009 4.82 -1.15)
1Jy 0409-75, radec J2000, 4:08:48.86, -75:07:11.7, (468 5009 3.84 -0.86)
1Jy 0410+11 | *3C109, radec J2000, 4:13:40.56, 11:12:21.1, (13 31400 2.78 -0.7 0 0 1.27 -1)
1Jy 0413-21, radec J2000, 4:16:04.38, -20:56:28.5, (80 31400 3.02 -0.86 0 0 0.01 1)
1Jy 0414-189, radec J2000, 4:16:36.51, -18:51:04.8, (800.0 31400 1.12 -0.29)
1Jy 0420-01, radec J2000, 4:23:15.79, -1:20:32.7, (12 90000 -0.4777 0.1841)
1Jy 0426-380, radec J2000, 4:28:40.45, -37:56:19.8, (800.0 31400 5.99 -1.3 0 0 -45.82 -1)
1Jy 0427-53, radec J2000, 4:29:06.86, -53:49:38.4, (408 5009 3.53 -0.88)
1Jy 0428+20, radec J2000, 4:31:03.75, 20:37:34.4, (318 31400 5.38 -1.19 0 0 -24.09 -1)
1Jy 0430+05 | *3C120, radec J2000, 4:33:11.09, 5:21:15.6, (14 90000 0.05098 0.2347)
1Jy 0433+29 | *3C123, radec J2000, 4:37:04.57, 29:40:14.8, (26 87200 4.275 -0.8324)
1Jy 0434-188, radec J2000, 4:37:01.53, -18:44:49.8, (800.0 8085 0.4027 -0.1027)
1Jy 0437-454, radec J2000, 4:39:03.18, -45:22:30.1, (800.0 5000 -0.7196 0.2349)
1Jy 0438-43, radec J2000, 4:40:17.17, -43:33:08.5, (408 31400 1.332 -0.1595)
1Jy 0440-00, radec J2000, 4:42:38.65, -0:17:43.8, (12 90000 0.7105 -0.1035)
1Jy 0442-28, radec J2000, 4:44:36.57, -28:09:44.0, (80 31400 3.82 -0.94)
1Jy 0446+11, radec J2000, 4:49:07.65, 11:21:29.7, (318 31400 -0.1738 0.04597)
1Jy 0451-28, radec J2000, 4:53:14.65, -28:07:37.8, (365 31400 2.37 -0.48 0 0 -10.87 -1)
1Jy 0453+22 | *3C132.0, radec J2000, 4:56:42.86, 22:49:21.3, (26 14900 3.69 -0.97 0 0 -2.66 -1)
1Jy 0453-20, radec J2000, 4:55:23.79, -20:34:15.4, (80 31400 3.88 -0.95 0 0 -4.75 -1)
1Jy 0453-30, radec J2000, 4:55:14.30, -30:06:49.9, (80 5009 3.01 -0.79)
1Jy 0454+84, radec J2000, 5:08:42.29, 84:32:04.7, (800.0 31400 -0.9349 0.2833)
1Jy 0454-46, radec J2000, 4:55:51.22, -46:15:59.0, (800.0 8870 0.36)
1Jy 0454-81, radec J2000, 4:50:04.92, -81:01:02.6, (800.0 5009 -1.14 0.349)
1Jy 0454-234, radec J2000, 4:57:03.19, -23:24:52.6, (408 31400 -0.2308 0.1515)
1Jy 0457+02, radec J2000, 4:59:52.03, 2:29:31.5, (408 31400 -0.0008709 0.02371)
1Jy 0458-02, radec J2000, 5:01:12.80, -1:59:13.7, (365 31400 0.3682 -0.01765)
1Jy 0500+01, radec J2000, 5:03:21.20, 2:03:05.4, (318 87200 6.49 -1.42 0 0 -39.09 -1)
1Jy 0506-61, radec J2000, 5:06:44.11, -61:09:40.7, (800.0 8870 -10.41 2.34 0 0 80.8 -1)
1Jy 0511+00 | *3C135, radec J2000, 5:14:07.08, 0:56:37.9, (12 31400 3.03 -0.81)
1Jy 0511-30, radec J2000, 5:13:33.82, -30:28:10.1, (408 5009 2.15 -0.49)
1Jy 0511-220, radec J2000, 5:13:49.23, -21:59:19.6, (408 31400 3.9 -0.82 0 0 -28.98 -1)
1Jy 0514-459, radec J2000, 5:15:44.43, -45:56:38.5, (800.0 5009 1.201 -0.3178)
1Jy 0518+16 | *3C138.0, radec J2000, 5:21:09.90, 16:38:22.0, (160 22000 3.053 -0.6675)
1Jy 0518-45, radec J2000, 5:19:44.31, -45:46:40.6, (80 5000 6.51 -1.38 0 0 -8.31 -1)
1Jy 0521-36, radec J2000, 5:22:57.90, -36:27:31.4, (80 31400 3.029 -0.5585)
1Jy 0524-460, radec J2000, 5:25:31.29, -45:57:47.6, (800.0 5009 -0.5351 0.144)
1Jy 0528+134, radec J2000, 5:30:56.40, 13:31:55.5, (408 22000 -3.23 1.37 0 0 -0.03 1)
1Jy 0528-250, radec J2000, 5:30:07.99, -25:03:28.3, (800.0 10695 2.1 -0.57)
1Jy 0537-286, radec J2000, 5:39:54.24, -28:39:54.7, (800.0 31400 13.14 -2.77 0 0 -117 -1)
1Jy 0537-441, radec J2000, 5:38:50.35, -44:05:09.3, (800.0 8870 4.83 -1.82 0 0 0.06 1)
1Jy 0538+49 | *3C147.0, radec J2000, 5:42:36.13, 49:51:07.2, (26 31400 3.902 -0.816)
1Jy 0539-057, radec J2000, 5:41:38.17, -5:41:52.7, (408 87200 -0.4345 0.1527)
1Jy 0602+67, radec J2000, 6:07:52.69, 67:20:55.2, (408 90000 -0.5551 0.1289)
1Jy 0602-31, radec J2000, 6:04:14.67, -31:55:58.4, (800.0 5009 1.693 -0.4276)
1Jy 0604-20, radec J2000, 6:06:33.74, -20:22:02.4, (80 10695 3.19 -0.88)
1Jy 0605+48 | *3C153.0, radec J2000, 6:09:32.55, 48:04:15.6, (26 14900 4.14 -1.06 0 0 -4.32 -1)
1Jy 0605-08, radec J2000, 6:07:59.67, -8:34:49.5, (365 22000 0.3708 0.04062)
1Jy 0606-223, radec J2000, 6:08:59.72, -22:20:21.9, (408 10695 3 -0.71 0 0 -17.16 -1)
1Jy 0607-15, radec J2000, 6:09:40.98, -15:42:39.9, (365 10695 0.9864 -0.2004)
1Jy 0614-34, radec J2000, 6:16:35.99, -34:56:17.2, (468 5009 2.21 -0.56)
1Jy 0615+82, radec J2000, 6:26:03.10, 82:02:25.6, (800.0 31400 3.6 -0.78 0 0 -28.47 -1)
1Jy 0618-37, radec J2000, 6:20:01.23, -37:11:33.6, (635 5009 2.67 -0.69)
1Jy 0620-52, radec J2000, 6:21:43.75, -52:41:33.4, (408 5009 2.5 -0.65)
1Jy 0625-35, radec J2000, 6:27:06.43, -35:29:14.4, (80 31400 2.73 -0.65)
1Jy 0625-53, radec J2000, 6:26:22.66, -53:41:18.3, (408 8870 3.96 -0.99)
1Jy 0637-75, radec J2000, 6:35:46.38, -75:16:13.5, (408 8870 -2.78 0.81 0 0 22.07 -1)
1Jy 0642-349, radec J2000, 6:44:25.28, -34:59:42.0, (800.0 5009 -0.4804 0.1322)
1Jy 0646-306, radec J2000, 6:48:14.49, -30:44:19.3, (800.0 31400 -0.7856 0.2225)
1Jy 0651+54 | *3C171.0, radec J2000, 6:55:14.87, 54:08:59.8, (26 14900 3.73 -0.98 0 0 -1.75 -1)
1Jy 0707+47, radec J2000, 7:10:46.12, 47:32:11.1, (408 90000 -0.0157 0.009276)
1Jy 0710+43, radec J2000, 7:13:38.14, 43:49:17.3, (408 10695 5.79 -1.26 0 0 -35.94 -1)
1Jy 0711+35, radec J2000, 7:14:24.83, 35:34:39.7, (408 31400 5.94 -1.32 0 0 -35.16 -1)
1Jy 0716+71, radec J2000, 7:21:53.42, 71:20:36.1, (408 31400 -0.05641 0.05657)
